well_id,field_label,campaign_year,x,y,screen_elev_m,head_m,head_minus_screen,elevation_srtm_m,landcover_code,landcover_class,clay_pct,sand_pct,silt_pct,texture_class,P_year_of_survey_mm,P_cumul_1yr_mm,P_anomaly_1yr_pct,P_cumul_3yr_mm,P_anomaly_3yr_pct,P_cumul_5yr_mm,P_anomaly_5yr_pct,depth_to_water_approx_m,is_cropland,qc_flag_head_below_screen
HYN-2022-017,P126,2022,648977.4245,3868289.817,375.0416884,402.3,27.258311600000013,432.0,60,Bare/sparse vegetation,28.7,41.4,29.8,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,29.69999999999999,0,0
HYN-2022-018,P130,2022,650198.0838,3868291.121,404.4905568,426.3,21.809443200000032,449.0,40,Cropland,28.8,41.3,30.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,22.69999999999999,1,0
HYN-2022-019,P69,2022,648315.74,3868349.43,366.2948714,390.0,23.705128600000023,429.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,39.0,0,0
HYN-2022-020,P73,2022,648482.17,3868357.59,369.7275016,388.0,18.272498400000018,434.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,46.0,0,0
HYN-2022-021,P63,2022,647991.46,3868433.75,366.5930513,379.0,12.406948699999989,426.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,47.0,0,0
HYN-2022-022,P118,2022,649073.5702,3868463.771,383.6887387,409.2,25.5112613,432.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,22.80000000000001,0,0
HYN-2022-023,P74,2022,649321.51,3868468.97,382.5181419,400.0,17.48185810000001,439.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,39.0,0,0
HYN-2022-024,P141,2022,650598.4135,3868500.938,406.443368,411.9,5.456631999999956,437.0,30,Grassland,29.4,41.3,29.3,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,25.100000000000023,0,0
HYN-2022-025,P97,2022,646663.3862,3868527.342,373.1424047,382.8,9.657595300000024,404.0,30,Grassland,29.3,39.2,31.5,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,21.19999999999999,0,0
HYN-2022-026,P122,2022,648757.2757,3868529.083,379.8608589,399.3,19.43914110000003,424.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,24.69999999999999,0,0
HYN-2022-027,P92,2022,647680.93,3868540.28,367.0577476,371.0,3.942252399999973,416.0,40,Cropland,27.9,40.8,31.3,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,45.0,1,0
HYN-2022-028,P62,2022,647926.37,3868598.49,360.9900071,377.0,16.009992899999986,418.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,41.0,0,0
HYN-2022-029,P124,2022,648801.2986,3868666.38,368.2282892,383.1,14.871710800000017,419.0,10,Tree cover,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,35.89999999999998,0,0
HYN-2022-030,P128,2022,648940.0961,3868738.159,367.3392449,396.0,28.660755100000017,427.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,31.0,0,0
HYN-2022-031,P96,2022,646870.0964,3868821.899,368.268024,380.1,11.831975999999996,400.0,40,Cropland,28.3,39.6,32.1,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,19.899999999999977,1,0
HYN-2022-032,P125,2022,649123.7435,3868957.416,364.2135359,390.9,26.686464099999966,433.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,42.10000000000002,0,0
HYN-2022-033,P139,2022,651197.1823,3868959.681,449.7709557,391.2,-58.57095570000001,428.0,40,Cropland,29.6,40.7,29.7,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,36.80000000000001,1,1
HYN-2022-034,P143,2022,650808.0414,3869068.619,382.6292784,392.6,9.970721600000047,427.0,40,Cropland,28.9,41.2,30.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,34.39999999999998,1,0
HYN-2022-035,P144,2022,650798.031,3869231.766,373.4703351,384.8,11.329664900000012,419.0,40,Cropland,29.3,41.5,29.2,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,34.19999999999999,1,0
HYN-2022-036,P138,2022,650722.5417,3869510.239,363.8421685,375.7,11.857831499999977,405.0,40,Cropland,29.5,41.5,29.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,29.30000000000001,1,0
