Layer 2
X	Y	Z	Top	Bot	Thick.	
648888.375	3875553	268.899994	290.399994	247.399994	43	
649192.406	3875553	266.859993	289.859985	243.860001	45.9999847	
649496.469	3875553	259.600006	283.600006	235.600006	48	
649800.5	3875553	253.339996	278.339996	228.339996	50	
650104.531	3875553	250.470001	277.970001	222.970001	55	
650408.594	3875553	249.959999	279.459991	220.460007	58.9999847	
650712.625	3875553	250.320007	279.320007	221.320007	58	
651016.656	3875553	253.369995	280.369995	226.369995	54	
651320.719	3875553	260.709999	285.709991	235.710007	49.9999847	
651624.75	3875553	245.190002	270.190002	220.190002	50	
651928.875	3875553	249.899994	274.899994	224.899994	50	
646152.031	3875174.38	246.640007	271.640015	221.639999	50.0000153	
646456.063	3875174.38	240.850006	265.850006	215.850006	50	
646760.094	3875174.38	255.959999	280.959991	230.960007	49.9999847	
647064.156	3875174.38	256.720001	281.720001	231.720001	50	
647368.188	3875174.38	261.470001	286.470001	236.470001	50	
647672.219	3875174.38	266.519997	291.519989	241.520004	49.9999847	
647976.25	3875174.38	268.320007	293.320007	243.320007	50	
648280.281	3875174.38	278	303	253	50	
648584.344	3875174.38	276.450012	295.450012	257.450012	38	
648888.375	3875174.38	273.600006	294.100006	253.100006	41	
649192.406	3875174.38	268.760002	291.76001	245.759995	46.0000153	
649496.469	3875174.38	263.390007	288.390015	238.389999	50.0000153	
649800.5	3875174.38	256.950005	281.950012	231.949997	50.0000153	
650104.531	3875174.38	252.279999	277.279999	227.279999	50	
650408.594	3875174.38	252.809998	280.309998	225.309998	55	
650712.625	3875174.38	255.540001	284.540009	226.539993	58.0000153	
651016.656	3875174.38	256.760002	281.76001	231.759995	50.0000153	
651320.719	3875174.38	266.019997	291.019989	241.020004	49.9999847	
651624.75	3875174.38	263.279999	288.279999	238.279999	50	
651928.875	3875174.38	248.489998	273.48999	223.490005	49.9999847	
646152.031	3874795.75	247.690002	272.690002	222.690002	50	
646456.063	3874795.75	241.660004	266.660004	216.660004	50	
646760.094	3874795.75	257.920006	282.920013	232.919998	50.0000153	
647064.156	3874795.75	261.760002	286.76001	236.759995	50.0000153	
647368.188	3874795.75	267.220001	292.220001	242.220001	50	
647672.219	3874795.75	277.070007	302.070007	252.070007	50	
647976.25	3874795.75	278.309998	303.309998	253.309998	50	
648280.281	3874795.75	277.920013	296.420013	259.420013	37	
648584.344	3874795.75	277.209991	296.209991	258.209991	38	
648888.375	3874795.75	273.690002	295.690002	251.690002	44	
649192.406	3874795.75	269.790001	291.790009	247.789993	44.0000153	
649496.469	3874795.75	266.130005	290.630005	241.630005	49	
649800.5	3874795.75	261.320007	286.320007	236.320007	50	
650104.531	3874795.75	259.119995	285.619995	232.619995	53	
650408.594	3874795.75	257.869995	284.369995	231.369995	53	
650712.625	3874795.75	260.529999	288.029999	233.029999	55	
651016.656	3874795.75	263.279999	288.279999	238.279999	50	
651320.719	3874795.75	272.160004	297.160004	247.160004	50	
651624.75	3874795.75	267.010002	292.01001	242.009995	50.0000153	
651928.875	3874795.75	266.940002	291.940002	241.940002	50	
646152.031	3874417.25	255.899994	280.899994	230.899994	50	
646456.063	3874417.25	246.859993	271.859985	221.860001	49.9999847	
646760.094	3874417.25	259.809998	284.809998	234.809998	50	
647064.156	3874417.25	267.649994	292.649994	242.649994	50	
647368.188	3874417.25	275.019997	300.019989	250.020004	49.9999847	
647672.219	3874417.25	281.290009	306.290009	256.290009	50	
647976.25	3874417.25	280.850006	299.850006	261.850006	38	
648280.281	3874417.25	280.309998	299.309998	261.309998	38	
648584.344	3874417.25	278.170013	298.170013	258.170013	40	
648888.375	3874417.25	275.279999	295.779999	254.779999	41	
649192.406	3874417.25	271.079994	292.079987	250.080002	41.9999847	
649496.469	3874417.25	267.899994	290.399994	245.399994	45	
