well_id,x,y,lon,lat,elevation_srtm_m,landcover_code,landcover_class
HYN-2022-085,650026.9862,3875033.776,-1.3558399348793317,35.00681382682818,303.0,40,Cropland
HYN-2022-086,649274.7104,3875115.286,-1.3640665746913432,35.00765991488604,306.0,40,Cropland
HYN-2022-087,649313.6588,3875147.566,-1.3636340897092867,35.00794512555099,304.0,40,Cropland
HYN-2022-088,649268.3116,3875362.408,-1.364092316800356,35.009888353894794,301.0,40,Cropland
HYN-2022-089,649241.5725,3875377.253,-1.3643825938496894,35.01002611170339,301.0,40,Cropland
HYN-2022-090,649717.8758,3875390.458,-1.3591620543163585,35.010074691527635,302.0,20,Shrubland
HYN-2022-091,649273.6057,3875777.925,-1.36395971827226,35.01363293305278,298.0,40,Cropland
HYN-2022-092,650434.8182,3875792.183,-1.3512348992699894,35.01358925141448,295.0,50,Built-up
HYN-2022-093,650435.9599,3876209.525,-1.351146867392621,35.017350866098134,290.0,10,Tree cover
HYN-2022-094,650627.6476,3876606.772,-1.3489746573424242,35.02090295663862,289.0,40,Cropland
HYN-2022-095,650229.1248,3877802.569,-1.3531250364281477,35.03174081278992,276.0,40,Cropland
