Layer 2
X	Y	Z	Ss	Sy	PorEff.	PorTot.	
646152.031	3875553	243.130005	0.299943631	0.299943631	0.339909669	0.37997865	
646456.063	3875553	243.519997	0.3	0.3	0.34	0.38	
646760.094	3875553	250.019997	0.3	0.3	0.34	0.38	
647064.156	3875553	250.489998	0.3	0.3	0.34	0.38	
647368.188	3875553	252.390007	0.3	0.3	0.34	0.38	
647672.219	3875553	258.640007	0.3	0.3	0.34	0.38	
647976.25	3875553	264.049995	0.3	0.3	0.34	0.38	
648280.281	3875553	268.670006	0.287795398	0.287795398	0.320336887	0.375931853	
648584.344	3875553	267.109993	0.210707251	0.210707251	0.196139697	0.350235812	
648888.375	3875553	268.899994	0.14207929	0.14207929	0.0855721345	0.324109567	
649192.406	3875553	266.859993	0.199481014	0.199481014	0.17805302	0.328462505	
649496.469	3875553	259.600006	0.140127329	0.140127329	0.0824269307	0.325529558	
649800.5	3875553	253.339996	0.202835723	0.202835723	0.183457264	0.347611983	
650104.531	3875553	250.470001	0.217808329	0.217808329	0.207580556	0.35260268	
650408.594	3875553	249.959999	0.294024064	0.294024064	0.330371857	0.378007978	
650712.625	3875553	250.320007	0.3	0.3	0.34	0.38	
651016.656	3875553	253.369995	0.3	0.3	0.34	0.38	
651320.719	3875553	260.709999	0.3	0.3	0.34	0.38	
651624.75	3875553	245.190002	0.3	0.3	0.34	0.38	
651928.875	3875553	249.899994	0.299604813	0.299604813	0.339367348	0.379812084	
646152.031	3875174.38	246.640007	0.299934347	0.299934347	0.339894644	0.379975499	
646456.063	3875174.38	240.850006	0.3	0.3	0.34	0.38	
646760.094	3875174.38	255.959999	0.3	0.3	0.34	0.38	
647064.156	3875174.38	256.720001	0.3	0.3	0.34	0.38	
647368.188	3875174.38	261.470001	0.3	0.3	0.34	0.38	
647672.219	3875174.38	266.519997	0.3	0.3	0.34	0.38	
647976.25	3875174.38	268.320007	0.3	0.3	0.34	0.38	
648280.281	3875174.38	278	0.273044636	0.273044636	0.296571748	0.371014708	
648584.344	3875174.38	276.450012	0.136478436	0.136478436	0.0765490774	0.325492565	
648888.375	3875174.38	273.600006	0.121345775	0.121345775	0.0521681806	0.316648169	
649192.406	3875174.38	268.760002	0.125236532	0.125236532	0.0584366966	0.301940426	
649496.469	3875174.38	263.390007	0.13319858	0.13319858	0.0712637406	0.32285678	
649800.5	3875174.38	256.950005	0.216864046	0.216864046	0.206058961	0.352288197	
650104.531	3875174.38	252.279999	0.289883291	0.289883291	0.323700616	0.376628036	
650408.594	3875174.38	252.809998	0.299541273	0.299541273	0.339260892	0.379847071	
650712.625	3875174.38	255.540001	0.3	0.3	0.34	0.38	
651016.656	3875174.38	256.760002	0.3	0.3	0.34	0.38	
651320.719	3875174.38	266.019997	0.3	0.3	0.34	0.38	
651624.75	3875174.38	263.279999	0.3	0.3	0.34	0.38	
651928.875	3875174.38	248.489998	0.299608635	0.299608635	0.339373082	0.379813995	
646152.031	3874795.75	247.690002	0.299925556	0.299925556	0.339880114	0.379971772	
646456.063	3874795.75	241.660004	0.3	0.3	0.34	0.38	
646760.094	3874795.75	257.920006	0.3	0.3	0.34	0.38	
647064.156	3874795.75	261.760002	0.3	0.3	0.34	0.38	
647368.188	3874795.75	267.220001	0.3	0.3	0.34	0.38	
647672.219	3874795.75	277.070007	0.299624546	0.299624546	0.339395167	0.379874849	
647976.25	3874795.75	278.309998	0.2888993	0.2888993	0.32211589	0.376300012	
648280.281	3874795.75	277.920013	0.216116051	0.216116051	0.204853345	0.352038594	
648584.344	3874795.75	277.209991	0.135732346	0.135732346	0.0753465767	0.325243847	
648888.375	3874795.75	273.690002	0.185798021	0.185798021	0.15600774	0.341932628	
649192.406	3874795.75	269.790001	0.190615298	0.190615298	0.163768787	0.343538397	
649496.469	3874795.75	266.130005	0.192990435	0.192990435	0.167595716	0.344330064	
649800.5	3874795.75	261.320007	0.209271925	0.209271925	0.193827543	0.34975701	
