Layer 2
X	Y	Z	Kx	Ky	Kz	
646456.063	3875931.5	242.549995	1E-11	1E-11	1E-11	
646760.094	3875931.5	244.019997	1E-11	1E-11	1E-11	
647064.156	3875931.5	244.25	1E-11	1E-11	1E-11	
647368.188	3875931.5	248.670006	1E-11	1E-11	1E-11	
647672.219	3875931.5	253.359993	1E-11	1E-11	1E-11	
647976.25	3875931.5	260.459999	1E-11	1E-11	1E-11	
648280.281	3875931.5	264.279999	1E-11	1E-11	1E-11	
648584.344	3875931.5	265.630005	1E-11	1E-11	1E-11	
648888.375	3875931.5	263.980003	1E-11	1E-11	1E-11	
649192.406	3875931.5	261.940002	1E-11	1E-11	1E-11	
649496.469	3875931.5	255.660004	1E-11	1E-11	1E-11	
649800.5	3875931.5	249.450005	1E-11	1E-11	1E-11	
650104.531	3875931.5	246.690002	1E-11	1E-11	1E-11	
650408.594	3875931.5	245.339996	1E-11	1E-11	1E-11	
650712.625	3875931.5	245.899994	1E-11	1E-11	1E-11	
651016.656	3875931.5	249.700005	1E-11	1E-11	1E-11	
651320.719	3875931.5	240.540001	1E-11	1E-11	1E-11	
651624.75	3875931.5	220.320007	1E-11	1E-11	1E-11	
651928.875	3875931.5	238.149994	1E-11	1E-11	1E-11	
646152.031	3875553	243.130005	1E-11	1E-11	1E-11	
646456.063	3875553	243.519997	1E-11	1E-11	1E-11	
646760.094	3875553	250.019997	1E-11	1E-11	1E-11	
647064.156	3875553	250.489998	1E-11	1E-11	1E-11	
647368.188	3875553	252.390007	1E-11	1E-11	1E-11	
647672.219	3875553	258.640007	1E-11	1E-11	1E-11	
647976.25	3875553	264.049995	1E-11	1E-11	1E-11	
648280.281	3875553	268.670006	1E-11	1E-11	1E-11	
648584.344	3875553	267.109993	1E-11	1E-11	1E-11	
648888.375	3875553	268.899994	1E-11	1E-11	1E-11	
649192.406	3875553	266.859993	1E-11	1E-11	1E-11	
649496.469	3875553	259.600006	1E-11	1E-11	1E-11	
649800.5	3875553	253.339996	1E-11	1E-11	1E-11	
650104.531	3875553	250.470001	1E-11	1E-11	1E-11	
650408.594	3875553	249.959999	1E-11	1E-11	1E-11	
650712.625	3875553	250.320007	1E-11	1E-11	1E-11	
651016.656	3875553	253.369995	1E-11	1E-11	1E-11	
651320.719	3875553	260.709999	1E-11	1E-11	1E-11	
651624.75	3875553	245.190002	1E-11	1E-11	1E-11	
651928.875	3875553	249.899994	1E-11	1E-11	1E-11	
646152.031	3875174.38	246.640007	1E-11	1E-11	1E-11	
646456.063	3875174.38	240.850006	1E-11	1E-11	1E-11	
646760.094	3875174.38	255.959999	1E-11	1E-11	1E-11	
647064.156	3875174.38	256.720001	1E-11	1E-11	1E-11	
647368.188	3875174.38	261.470001	1E-11	1E-11	1E-11	
647672.219	3875174.38	266.519997	1E-11	1E-11	1E-11	
647976.25	3875174.38	268.320007	1E-11	1E-11	1E-11	
648280.281	3875174.38	278	1E-11	1E-11	1E-11	
648584.344	3875174.38	276.450012	1E-11	1E-11	1E-11	
648888.375	3875174.38	273.600006	1E-11	1E-11	1E-11	
649192.406	3875174.38	268.760002	1E-11	1E-11	1E-11	
649496.469	3875174.38	263.390007	1E-11	1E-11	1E-11	
649800.5	3875174.38	256.950005	1E-11	1E-11	1E-11	
650104.531	3875174.38	252.279999	1E-11	1E-11	1E-11	
650408.594	3875174.38	252.809998	1E-11	1E-11	1E-11	
650712.625	3875174.38	255.540001	1E-11	1E-11	1E-11	
651016.656	3875174.38	256.760002	1E-11	1E-11	1E-11	
651320.719	3875174.38	266.019997	1E-11	1E-11	1E-11	
651624.75	3875174.38	263.279999	1E-11	1E-11	1E-11	
651928.875	3875174.38	248.489998	1E-11	1E-11	1E-11	
646152.031	3874795.75	247.690002	1E-11	1E-11	1E-11	
646456.063	3874795.75	241.660004	1E-11	1E-11	1E-11	
646760.094	3874795.75	257.920006	1E-11	1E-11	1E-11	
647064.156	3874795.75	261.760002	1E-11	1E-11	1E-11	
647368.188	3874795.75	267.220001	1E-11	1E-11	1E-11	
647672.219	3874795.75	277.070007	1E-11	1E-11	1E-11	
647976.25	3874795.75	278.309998	1E-11	1E-11	1E-11	
648280.281	3874795.75	277.920013	1E-11	1E-11	1E-11	
648584.344	3874795.75	277.209991	1E-11	1E-11	1E-11	
648888.375	3874795.75	273.690002	1E-11	1E-11	1E-11	
649192.406	3874795.75	269.790001	1E-11	1E-11	1E-11	
649496.469	3874795.75	266.130005	1E-11	1E-11	1E-11	
649800.5	3874795.75	261.320007	1E-11	1E-11	1E-11	
650104.531	3874795.75	259.119995	1E-11	1E-11	1E-11	
650408.594	3874795.75	257.869995	1E-11	1E-11	1E-11	
650712.625	3874795.75	260.529999	1E-11	1E-11	1E-11	
651016.656	3874795.75	263.279999	1E-11	1E-11	1E-11	
651320.719	3874795.75	272.160004	1E-11	1E-11	1E-11	
651624.75	3874795.75	267.010002	1E-11	1E-11	1E-11	
651928.875	3874795.75	266.940002	1E-11	1E-11	1E-11	
646152.031	3874417.25	255.899994	1E-11	1E-11	1E-11	
646456.063	3874417.25	246.859993	1E-11	1E-11	1E-11	
646760.094	3874417.25	259.809998	1E-11	1E-11	1E-11	
647064.156	3874417.25	267.649994	1E-11	1E-11	1E-11	
647368.188	3874417.25	275.019997	1E-11	1E-11	1E-11	
647672.219	3874417.25	281.290009	1E-11	1E-11	1E-11	
647976.25	3874417.25	280.850006	1E-11	1E-11	1E-11	
648280.281	3874417.25	280.309998	1E-11	1E-11	1E-11	
648584.344	3874417.25	278.170013	1E-11	1E-11	1E-11	
648888.375	3874417.25	275.279999	1E-11	1E-11	1E-11	
649192.406	3874417.25	271.079994	1E-11	1E-11	1E-11	
649496.469	3874417.25	267.899994	1E-11	1E-11	1E-11	
649800.5	3874417.25	266.489998	1E-11	1E-11	1E-11	
650104.531	3874417.25	265.240005	1E-11	1E-11	1E-11	
650408.594	3874417.25	264.140007	1E-11	1E-11	1E-11	
650712.625	3874417.25	266.739998	1E-11	1E-11	1E-11	
651016.656	3874417.25	270.869995	1E-11	1E-11	1E-11	
651320.719	3874417.25	277.959999	1E-11	1E-11	1E-11	
651624.75	3874417.25	269.829994	1E-11	1E-11	1E-11	
651928.875	3874417.25	273.140007	1E-11	1E-11	1E-11	
