Layer 1
X	Y	Z	Head	
650712.625	3877067.13	268.299988	269.287537	
651016.656	3877067.13	271.830002	268.010986	
651320.719	3877067.13	266.339996	1.00000002E30	
651624.75	3877067.13	231.360001	1.00000002E30	
651928.875	3877067.13	217.960007	1.00000002E30	
646152.031	3876688.5	267.100006	1.00000002E30	
646456.063	3876688.5	273.089996	1.00000002E30	
646760.094	3876688.5	280.950012	1.00000002E30	
647064.156	3876688.5	285.98999	1.00000002E30	
647368.188	3876688.5	296.279999	1.00000002E30	
647672.219	3876688.5	294.98999	1.00000002E30	
647976.25	3876688.5	289.600006	1.00000002E30	
648280.281	3876688.5	289.109985	1.00000002E30	
648584.344	3876688.5	284.809998	1.00000002E30	
648888.375	3876688.5	284.890015	1.00000002E30	
649192.406	3876688.5	287.390015	1.00000002E30	
649496.469	3876688.5	284.964996	1.00000002E30	
649800.5	3876688.5	270.744995	267.015991	
650104.531	3876688.5	268.410004	275.101746	
650408.594	3876688.5	270.125	274.925995	
650712.625	3876688.5	269.360001	274.136536	
651016.656	3876688.5	273.585007	271.010986	
651320.719	3876688.5	265.26001	1.00000002E30	
651624.75	3876688.5	241.490005	1.00000002E30	
651928.875	3876688.5	227.029999	1.00000002E30	
646152.031	3876310	260.339996	1.00000002E30	
646456.063	3876310	269.380005	1.00000002E30	
646760.094	3876310	273.790009	1.00000002E30	
647064.156	3876310	278.5	1.00000002E30	
647368.188	3876310	281.339996	1.00000002E30	
647672.219	3876310	282.429993	1.00000002E30	
647976.25	3876310	284.700012	1.00000002E30	
648280.281	3876310	288.420013	1.00000002E30	
648584.344	3876310	286.899994	1.00000002E30	
648888.375	3876310	284.140015	1.00000002E30	
649192.406	3876310	284.914993	1.00000002E30	
649496.469	3876310	284.105011	275.022003	
649800.5	3876310	278.639999	280.57077	
650104.531	3876310	276.309998	280.592163	
650408.594	3876310	276.759995	280.286926	
650712.625	3876310	278.360001	279.274567	
651016.656	3876310	280.090012	275.007996	
651320.719	3876310	278.580002	1.00000002E30	
651624.75	3876310	249.080002	1.00000002E30	
651928.875	3876310	227.020004	1.00000002E30	
646152.031	3875931.5	265.220001	1.00000002E30	
646456.063	3875931.5	268.049988	1.00000002E30	
646760.094	3875931.5	269.519989	1.00000002E30	
647064.156	3875931.5	269.75	1.00000002E30	
647368.188	3875931.5	274.170013	1.00000002E30	
647672.219	3875931.5	278.859985	1.00000002E30	
647976.25	3875931.5	285.959991	1.00000002E30	
648280.281	3875931.5	289.779999	1.00000002E30	
648584.344	3875931.5	291.130005	1.00000002E30	
648888.375	3875931.5	291.480011	285.019012	
649192.406	3875931.5	291.115005	284.019012	
649496.469	3875931.5	289.169998	286.407898	
649800.5	3875931.5	284.029999	286.34787	
650104.531	3875931.5	281.889999	286.25647	
650408.594	3875931.5	282.334991	285.626007	
650712.625	3875931.5	282.175003	284.538849	
651016.656	3875931.5	283.940002	279.007996	
651320.719	3875931.5	266.040009	1.00000002E30	
651624.75	3875931.5	245.820007	1.00000002E30	
651928.875	3875931.5	263.649994	1.00000002E30	
646152.031	3875553	268.630005	1.00000002E30	
646456.063	3875553	270.48999	1.00000002E30	
646760.094	3875553	275.519989	1.00000002E30	
647064.156	3875553	275.98999	1.00000002E30	
647368.188	3875553	277.890015	1.00000002E30	
647672.219	3875553	284.140015	1.00000002E30	
647976.25	3875553	289.549988	1.00000002E30	
648280.281	3875553	294.170013	1.00000002E30	
648584.344	3875553	296.610001	291.014008	
648888.375	3875553	296.899994	293.532593	
649192.406	3875553	295.5	292.589142	
649496.469	3875553	293.290009	292.254089	
649800.5	3875553	290.169998	292.124969	
650104.531	3875553	287.029999	292.040283	
650408.594	3875553	288.014999	291.303284	
650712.625	3875553	286.345001	289.941589	
651016.656	3875553	286.759995	282.010986	
651320.719	3875553	287.659988	1.00000002E30	
651624.75	3875553	270.690002	1.00000002E30	
651928.875	3875553	275.399994	1.00000002E30	
